"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 10 14:10:43 GMT 2022","Wed Aug 10 14:10:47 GMT 2022","3177","","CreditCardTest","","CreditCardTest","failureGetCreditCardBirthDateLessThanTwenty","Оформить карту при условии Дата Рождения = TODAY_MINUS_20_YEARS_PLUS_1_DAY. Негативный сценарий.","Проверка граничный значений на дату рождения, возраст человека менее 20 лет."
"passed","Wed Aug 10 14:11:29 GMT 2022","Wed Aug 10 14:11:33 GMT 2022","4018","","CreditCardTest","","CreditCardTest","failureGetCreditCardWithoutPhoneNumber","Оформить карту при условии Мобильный телефон = +711111. Негативный сценарий.","Ввести некорректный номер в поле Мобильный телефон и оформить карту."
"passed","Wed Aug 10 14:11:18 GMT 2022","Wed Aug 10 14:11:22 GMT 2022","3613","","CreditCardTest","","CreditCardTest","succesGetCreditCardWithoutEmail","Оформить карту без почты. Позитивный сценарий.","Ввести корректные данные пользователя, оставив поле почты пустым, и оформить карту."
"passed","Wed Aug 10 14:10:47 GMT 2022","Wed Aug 10 14:10:50 GMT 2022","3252","","CreditCardTest","","CreditCardTest","failureGetCreditCardWithoutBirthdate","Оформить карту без даты рождения. Негативный сценарий.","Оставить пустым поле Дата рождения и оформить карту."
"passed","Wed Aug 10 14:11:11 GMT 2022","Wed Aug 10 14:11:14 GMT 2022","3284","","CreditCardTest","","CreditCardTest","succesGetCreditCardDateBirthBetweenTwentyAndSeventy","Оформить карту при дате рождения пользователя = TODAY_MINUS_70_YEARS. Позитивный сценарий.","Ввести корректные данные пользователя c датами рождения между 20 и 70 годами включительно."
"passed","Wed Aug 10 14:10:50 GMT 2022","Wed Aug 10 14:10:53 GMT 2022","3555","","CreditCardTest","","CreditCardTest","failureGetCreditCardInvalidFio","Оформить карту при условии ФИО = Anton Antonow Antonowich. Негативный сценарий.","Ввести некорректное ФИО и оформить карту."
"passed","Wed Aug 10 14:10:56 GMT 2022","Wed Aug 10 14:11:00 GMT 2022","3358","","CreditCardTest","","CreditCardTest","failureGetCreditCardInvalidFio","Оформить карту при условии ФИО = Антонов Антон Антон11. Негативный сценарий.","Ввести некорректное ФИО и оформить карту."
"passed","Wed Aug 10 14:11:14 GMT 2022","Wed Aug 10 14:11:16 GMT 2022","1688","","CreditCardTest","","CreditCardTest","failureGetCreditCard","Оформить карту, оставив все поля ввода данных пустыми. Негативный сценарий.","Не вводить никаких данных пользователя и оформить карту."
"passed","Wed Aug 10 14:10:26 GMT 2022","Wed Aug 10 14:10:32 GMT 2022","6717","","CreditCardTest","","CreditCardTest","succesGetCreditCard","Оформить карту на имя = Антонов Антон Антонович. Позитивный сценарий.","Ввести корректные данные пользователя и оформить карту."
"passed","Wed Aug 10 14:11:04 GMT 2022","Wed Aug 10 14:11:08 GMT 2022","3866","","CreditCardTest","","CreditCardTest","succesGetCreditCardDateBirthBetweenTwentyAndSeventy","Оформить карту при дате рождения пользователя = TODAY_MINUS_20_YEARS. Позитивный сценарий.","Ввести корректные данные пользователя c датами рождения между 20 и 70 годами включительно."
"passed","Wed Aug 10 14:11:36 GMT 2022","Wed Aug 10 14:11:40 GMT 2022","3296","","CreditCardTest","","CreditCardTest","failureGetCreditCardBirthDateMoreThanSeventy","Оформить карту при условии Дата Рождения = TODAY_MINUS_70_YEARS_MINUS_1_DAY. Негативный сценарий.","Проверка граничный значений на дату рождения, возраст человека более 70 лет."
"passed","Wed Aug 10 14:11:22 GMT 2022","Wed Aug 10 14:11:26 GMT 2022","3646","","CreditCardTest","","CreditCardTest","succesGetCreditCardWithoutInputInfoFromBank","Оформить карту без галочки о рекламе. Позитивный сценарий.","Ввести корректные данные пользователя, снять галочку о рекламе и оформить карту."
"passed","Wed Aug 10 14:11:43 GMT 2022","Wed Aug 10 14:11:47 GMT 2022","3579","","CreditCardTest","","CreditCardTest","failureGetCreditCardInvalidDateEmail","Оформить карту при условии Электронная почта = antonovanton. Негативный сценарий","Ввести некорректный почтовый адрес и оформить карту"
"passed","Wed Aug 10 14:11:08 GMT 2022","Wed Aug 10 14:11:11 GMT 2022","3281","","CreditCardTest","","CreditCardTest","succesGetCreditCardDateBirthBetweenTwentyAndSeventy","Оформить карту при дате рождения пользователя = TODAY_MINUS_35_YEARS. Позитивный сценарий.","Ввести корректные данные пользователя c датами рождения между 20 и 70 годами включительно."
"passed","Wed Aug 10 14:11:00 GMT 2022","Wed Aug 10 14:11:04 GMT 2022","4190","","CreditCardTest","","CreditCardTest","failureGetCreditCardWithoutProcessingConditionsInput","Оформить карту без галочки обработки персональных данных. Негативный сценарий.","Ввести корректные данные пользователя, снять галочку с обработки персональных данных и оформить карту."
"passed","Wed Aug 10 14:10:53 GMT 2022","Wed Aug 10 14:10:56 GMT 2022","2990","","CreditCardTest","","CreditCardTest","failureGetCreditCardInvalidFio","Оформить карту при условии ФИО = Антонов Ан!тон. Негативный сценарий.","Ввести некорректное ФИО и оформить карту."
"passed","Wed Aug 10 14:10:36 GMT 2022","Wed Aug 10 14:10:40 GMT 2022","4017","","CreditCardTest","","CreditCardTest","succesGetCreditCard","Оформить карту на имя = Антонов-Бубонов Антон Антонович. Позитивный сценарий.","Ввести корректные данные пользователя и оформить карту."
"passed","Wed Aug 10 14:11:16 GMT 2022","Wed Aug 10 14:11:18 GMT 2022","2370","","CreditCardTest","","CreditCardTest","failureGetCreditCardWithoutFio","Оформить карту без ФИО. Негативный сценарий.","Оставить пустым поле ФИО и оформить карту."
"passed","Wed Aug 10 14:11:26 GMT 2022","Wed Aug 10 14:11:29 GMT 2022","3286","","CreditCardTest","","CreditCardTest","failureGetCreditCardWithoutPhoneNumber","Оформить карту при условии Мобильный телефон = +7. Негативный сценарий.","Ввести некорректный номер в поле Мобильный телефон и оформить карту."
"passed","Wed Aug 10 14:10:32 GMT 2022","Wed Aug 10 14:10:36 GMT 2022","3708","","CreditCardTest","","CreditCardTest","succesGetCreditCard","Оформить карту на имя = Антонов Антон. Позитивный сценарий.","Ввести корректные данные пользователя и оформить карту."
"passed","Wed Aug 10 14:10:40 GMT 2022","Wed Aug 10 14:10:43 GMT 2022","3236","","CreditCardTest","","CreditCardTest","failureGetCreditCardBirthDateLessThanTwenty","Оформить карту при условии Дата Рождения = TODAY. Негативный сценарий.","Проверка граничный значений на дату рождения, возраст человека менее 20 лет."
