"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 10 15:02:09 GMT 2022","Wed Aug 10 15:02:13 GMT 2022","3876","","CreditCardTest","","CreditCardTest","failureGetCreditCardWithEmptyPhoneNumber","Оформить карту, оставив поле Мобильный телефон пустым. Негативный сценарий.","Оставить пустым поле Мобильный телефон и оформить карту."
"passed","Wed Aug 10 15:01:11 GMT 2022","Wed Aug 10 15:01:15 GMT 2022","3734","","CreditCardTest","","CreditCardTest","failureGetCreditCardBirthDateLessThanTwenty","Оформить карту при условии Дата Рождения = TODAY_MINUS_20_YEARS_PLUS_1_DAY. Негативный сценарий.","Проверка граничный значений на дату рождения, возраст человека менее 20 лет."
"passed","Wed Aug 10 15:01:38 GMT 2022","Wed Aug 10 15:01:43 GMT 2022","4514","","CreditCardTest","","CreditCardTest","succesGetCreditCardDateBirthBetweenTwentyAndSeventy","Оформить карту при дате рождения пользователя = TODAY_MINUS_35_YEARS. Позитивный сценарий.","Ввести корректные данные пользователя c датами рождения между 20 и 70 годами включительно."
"passed","Wed Aug 10 15:01:07 GMT 2022","Wed Aug 10 15:01:11 GMT 2022","4110","","CreditCardTest","","CreditCardTest","failureGetCreditCardBirthDateLessThanTwenty","Оформить карту при условии Дата Рождения = TODAY. Негативный сценарий.","Проверка граничный значений на дату рождения, возраст человека менее 20 лет."
"passed","Wed Aug 10 15:01:34 GMT 2022","Wed Aug 10 15:01:38 GMT 2022","4357","","CreditCardTest","","CreditCardTest","succesGetCreditCardDateBirthBetweenTwentyAndSeventy","Оформить карту при дате рождения пользователя = TODAY_MINUS_20_YEARS. Позитивный сценарий.","Ввести корректные данные пользователя c датами рождения между 20 и 70 годами включительно."
"passed","Wed Aug 10 15:01:57 GMT 2022","Wed Aug 10 15:02:01 GMT 2022","4449","","CreditCardTest","","CreditCardTest","succesGetCreditCardWithoutInputInfoFromBank","Оформить карту без галочки о рекламе. Позитивный сценарий.","Ввести корректные данные пользователя, снять галочку о рекламе и оформить карту."
"passed","Wed Aug 10 15:00:58 GMT 2022","Wed Aug 10 15:01:02 GMT 2022","3960","","CreditCardTest","","CreditCardTest","succesGetCreditCard","Оформить карту на имя = Антонов Антон. Позитивный сценарий.","Ввести корректные данные пользователя и оформить карту."
"passed","Wed Aug 10 15:01:29 GMT 2022","Wed Aug 10 15:01:34 GMT 2022","4215","","CreditCardTest","","CreditCardTest","failureGetCreditCardWithoutProcessingConditionsInput","Оформить карту без галочки обработки персональных данных. Негативный сценарий.","Ввести корректные данные пользователя, снять галочку с обработки персональных данных и оформить карту."
"passed","Wed Aug 10 15:01:02 GMT 2022","Wed Aug 10 15:01:07 GMT 2022","4626","","CreditCardTest","","CreditCardTest","succesGetCreditCard","Оформить карту на имя = Антонов-Бубонов Антон Антонович. Позитивный сценарий.","Ввести корректные данные пользователя и оформить карту."
"passed","Wed Aug 10 15:02:17 GMT 2022","Wed Aug 10 15:02:22 GMT 2022","5195","","CreditCardTest","","CreditCardTest","failureGetCreditCardBirthDateMoreThanSeventy","Оформить карту при условии Дата Рождения = TODAY_MINUS_100_YEARS. Негативный сценарий.","Проверка граничный значений на дату рождения, возраст человека более 70 лет."
"passed","Wed Aug 10 15:01:49 GMT 2022","Wed Aug 10 15:01:53 GMT 2022","3672","","CreditCardTest","","CreditCardTest","failureGetCreditCardWithoutFio","Оформить карту без ФИО. Негативный сценарий.","Оставить пустым поле ФИО и оформить карту."
