"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 10 15:01:15 GMT 2022","Wed Aug 10 15:01:18 GMT 2022","3605","","CreditCardTest","","CreditCardTest","failureGetCreditCardWithoutBirthdate","Оформить карту без даты рождения. Негативный сценарий.","Оставить пустым поле Дата рождения и оформить карту."
"passed","Wed Aug 10 15:01:43 GMT 2022","Wed Aug 10 15:01:47 GMT 2022","4191","","CreditCardTest","","CreditCardTest","succesGetCreditCardDateBirthBetweenTwentyAndSeventy","Оформить карту при дате рождения пользователя = TODAY_MINUS_70_YEARS. Позитивный сценарий.","Ввести корректные данные пользователя c датами рождения между 20 и 70 годами включительно."
"passed","Wed Aug 10 15:02:05 GMT 2022","Wed Aug 10 15:02:09 GMT 2022","4041","","CreditCardTest","","CreditCardTest","failureGetCreditCardWithoutPhoneNumber","Оформить карту при условии Мобильный телефон = +711111. Негативный сценарий.","Ввести некорректный номер в поле Мобильный телефон и оформить карту."
"passed","Wed Aug 10 15:01:22 GMT 2022","Wed Aug 10 15:01:26 GMT 2022","3513","","CreditCardTest","","CreditCardTest","failureGetCreditCardInvalidFio","Оформить карту при условии ФИО = Антонов Ан!тон. Негативный сценарий.","Ввести некорректное ФИО и оформить карту."
"passed","Wed Aug 10 15:02:01 GMT 2022","Wed Aug 10 15:02:05 GMT 2022","3734","","CreditCardTest","","CreditCardTest","failureGetCreditCardWithoutPhoneNumber","Оформить карту при условии Мобильный телефон = +7. Негативный сценарий.","Ввести некорректный номер в поле Мобильный телефон и оформить карту."
"passed","Wed Aug 10 15:02:22 GMT 2022","Wed Aug 10 15:02:26 GMT 2022","4257","","CreditCardTest","","CreditCardTest","failureGetCreditCardInvalidDateEmail","Оформить карту при условии Электронная почта = antonovanton. Негативный сценарий","Ввести некорректный почтовый адрес и оформить карту"
"passed","Wed Aug 10 15:01:18 GMT 2022","Wed Aug 10 15:01:22 GMT 2022","3900","","CreditCardTest","","CreditCardTest","failureGetCreditCardInvalidFio","Оформить карту при условии ФИО = Anton Antonow Antonowich. Негативный сценарий.","Ввести некорректное ФИО и оформить карту."
"passed","Wed Aug 10 15:01:53 GMT 2022","Wed Aug 10 15:01:57 GMT 2022","4274","","CreditCardTest","","CreditCardTest","succesGetCreditCardWithoutEmail","Оформить карту без почты. Позитивный сценарий.","Ввести корректные данные пользователя, оставив поле почты пустым, и оформить карту."
"passed","Wed Aug 10 15:02:13 GMT 2022","Wed Aug 10 15:02:17 GMT 2022","3908","","CreditCardTest","","CreditCardTest","failureGetCreditCardBirthDateMoreThanSeventy","Оформить карту при условии Дата Рождения = TODAY_MINUS_70_YEARS_MINUS_1_DAY. Негативный сценарий.","Проверка граничный значений на дату рождения, возраст человека более 70 лет."
"passed","Wed Aug 10 15:01:26 GMT 2022","Wed Aug 10 15:01:29 GMT 2022","3829","","CreditCardTest","","CreditCardTest","failureGetCreditCardInvalidFio","Оформить карту при условии ФИО = Антонов Антон Антон11. Негативный сценарий.","Ввести некорректное ФИО и оформить карту."
"passed","Wed Aug 10 15:00:50 GMT 2022","Wed Aug 10 15:00:58 GMT 2022","8177","","CreditCardTest","","CreditCardTest","succesGetCreditCard","Оформить карту на имя = Антонов Антон Антонович. Позитивный сценарий.","Ввести корректные данные пользователя и оформить карту."
"passed","Wed Aug 10 15:01:47 GMT 2022","Wed Aug 10 15:01:49 GMT 2022","2311","","CreditCardTest","","CreditCardTest","failureGetCreditCard","Оформить карту, оставив все поля ввода данных пустыми. Негативный сценарий.","Не вводить никаких данных пользователя и оформить карту."
